ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון,category
355481.0,פרי גליל,טומטו-16,רוטב עגב. א- BX22 2טומטו רובין,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355498.0,פרי גליל,טומטו-16,רוטב עגב. א- BX28 2טומטו (רבנות),ברקודים חדשים,מסמן על רב המוצרים,Groceries
355498.0,פרי גליל,טומטו-16,רוטב עגב. א- BX28 2טומטו רובין,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355504.0,פרי גליל,טל-14,רס.עגב. א- BX22 2טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355511.0,פרי גליל,טל-14,רכ.עגב.א- BX28 2טל (12יח),ברקודים חדשים,מסמן על רב המוצרים,Groceries
355511.0,פרי גליל,טל-14,רכ.עגב.א- BX28 2טל ( 24יחידות),ברקודים חדשים,מסמן על רב המוצרים,Groceries
355719.0,פרי גליל,טל-14,עגב.קוביות א- 2.5טל (רובין),ברקודים חדשים,מסמן על רב המוצרים,Groceries
355733.0,פרי גליל,טל-14,עגב.מקולפות א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355733.0,פרי גליל,טל-14,עגב.מקולפות א- 2.5טל רובין,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355757.0,פרי גליל,טל-14,עגב.מרוסקות א- 2.5טל (רובין),ברקודים חדשים,מסמן על רב המוצרים,Groceries
355863.0,פרי גליל,טל-14,מיץ.עגבניות 1ליטר,ברקודים חדשים,מסמן על רב המוצרים,Beverages
356631.0,פרי גליל,טל-14,עגב.מרוסקת 300X2טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
356648.0,פרי גליל,טל-14,עגב.מרוסקות שום 300X2טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
356662.0,פרי גליל,טל-14,עגב.מרוסקת בזיל. 300X2טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
356679.0,פרי גליל,טל-14,ר.עגבניות לבישול 300X2,ברקודים חדשים,מסמן על רב המוצרים,Groceries
356730.0,פרי גליל,טל-14,רס.עגב. 330X2טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
356952.0,פרי גליל,טל-14,עגב.מגורדות 300X2טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
1006337.0,PL אוסטיב עוף טוב,שופרסל,חזה הודו בדבש שופרסל קג,ברקודים חדשים,,Groceries
1006344.0,PL אוסטיב עוף טוב,שופרסל,חזה הודו ברביקיו שופרסל,ברקודים חדשים,,Groceries
1006351.0,PL אוסטיב עוף טוב,שופרסל,חזה הודו פפריקה שופרסל ק,ברקודים חדשים,,Groceries
1006368.0,PL אוסטיב עוף טוב,שופרסל,פסטרמה איטלקית שופרסל קג,ברקודים חדשים,,Groceries
1006375.0,PL אוסטיב עוף טוב,שופרסל,פסטרמה מקסיקני שופרסל קג,ברקודים חדשים,,Groceries
1136287.0,סנו,סנו,"נקה 7 שמפו 750 מ""ל",ברקודים חדשים,,Bathroom
1258019.0,משק יעקבס,משק יעקבס,1258019   קממברט עיזים בייבי -מעדניה,ברקודים חדשים,מסמן על אריזות,Groceries
1258026.0,משק יעקבס,משק יעקבס,1258026   גבינת משק יחידות,ברקודים חדשים,מסמן על אריזות,Groceries
1258088.0,משק יעקבס,משק יעקבס,1258088   קצ'וטה,ברקודים חדשים,מסמן על אריזות,Groceries
1258101.0,משק יעקבס,משק יעקבס,1258101 גאודה טבעי,ברקודים חדשים,מסמן על אריזות,Groceries
1258118.0,משק יעקבס,משק יעקבס,1258118 קממברט,ברקודים חדשים,מסמן על אריזות,Groceries
1258149.0,משק יעקבס,משק יעקבס,1258149   פקורינו רומנו,ברקודים חדשים,מסמן על אריזות,Groceries
1258150.0,משק יעקבס,משק יעקבס,1258149   סרדו,ברקודים חדשים,מסמן על אריזות,Groceries
1258170.0,משק יעקבס,משק יעקבס,1258170   רוקפור,ברקודים חדשים,מסמן על אריזות,Groceries
1258217.0,משק יעקבס,משק יעקבס,"1258217  לבנה עיזים 2 ק""ג",ברקודים חדשים,מסמן על אריזות,Groceries
1258224.0,משק יעקבס,משק יעקבס,"1258224   לבנה בקר 2 ק""ג",ברקודים חדשים,מסמן על אריזות,Groceries
1258248.0,משק יעקבס,משק יעקבס,1258248  אופיר,ברקודים חדשים,מסמן על אריזות,Groceries
1258385.0,משק יעקבס,משק יעקבס,"1258385  מוצרלה במים (ק""ג2)",ברקודים חדשים,מסמן על אריזות,Beverages
1258408.0,משק יעקבס,משק יעקבס,"1258408   גבינת משק 2 ק""ג",ברקודים חדשים,מסמן על אריזות,Groceries
1258415.0,משק יעקבס,משק יעקבס,1258415   רוקפור ואקום 0.180,ברקודים חדשים,מסמן על אריזות,Groceries
1258422.0,משק יעקבס,משק יעקבס,1258422   קשקבל,ברקודים חדשים,מסמן על אריזות,Groceries
1258446.0,משק יעקבס,משק יעקבס,"1258446   יוגורט כבשים .850 מ""ל",ברקודים חדשים,מסמן על אריזות,Dairy
1258453.0,משק יעקבס,משק יעקבס,1258453   קממברט אגוזים,ברקודים חדשים,מסמן על אריזות,Groceries
1258514.0,משק יעקבס,משק יעקבס,"1258514  ריקוטה 2 ק""ג",ברקודים חדשים,מסמן על אריזות,Groceries
1258545.0,משק יעקבס,משק יעקבס,1258545   קרם פרש 500 גרם,ברקודים חדשים,מסמן על אריזות,Groceries
1258576.0,משק יעקבס,משק יעקבס,1258576  גאודה  ואקום 0.200 גרם,ברקודים חדשים,מסמן על אריזות,Groceries
1258590.0,משק יעקבס,משק יעקבס,1258590   מנצגו,ברקודים חדשים,מסמן על אריזות,Groceries
1258620.0,משק יעקבס,משק יעקבס,1258620   מנצגו ואקום  0.180,ברקודים חדשים,מסמן על אריזות,Groceries
1258668.0,משק יעקבס,משק יעקבס,1258668   עז מה 250.0 גרם,ברקודים חדשים,מסמן על אריזות,Groceries
1258682.0,משק יעקבס,משק יעקבס,"1258682    יוגורט עזים 500.0 מ""ל",ברקודים חדשים,מסמן על אריזות,Dairy
1258729.0,משק יעקבס,משק יעקבס,1258729   לבנה עזים 250.0 גרם,ברקודים חדשים,מסמן על אריזות,Groceries
1258798.0,משק יעקבס,משק יעקבס,"1258798  פטה כבשים 0.250ג""ר",ברקודים חדשים,מסמן על אריזות,Groceries
1258804.0,משק יעקבס,משק יעקבס,1258804  קשקבל ואקום 0.18גרם,ברקודים חדשים,מסמן על אריזות,Groceries
1258811.0,משק יעקבס,משק יעקבס,1258811  כדורי מוצרלה בייבי (2),ברקודים חדשים,מסמן על אריזות,Groceries
1258842.0,משק יעקבס,משק יעקבס,1258842  קפרינו,ברקודים חדשים,מסמן על אריזות,Groceries
1258859.0,משק יעקבס,משק יעקבס,1258859   עמית מורבייה,ברקודים חדשים,מסמן על אריזות,Groceries
1258866.0,משק יעקבס,משק יעקבס,1258866   פקורינו ואקום 0.180,ברקודים חדשים,מסמן על אריזות,Groceries
1258958.0,משק יעקבס,משק יעקבס,1258958  מוצרלה מגורדת 0.200 גרם,ברקודים חדשים,מסמן על אריזות,Groceries
1258989.0,משק יעקבס,משק יעקבס,1258989קממברט בקר בייבי-מעדניה,ברקודים חדשים,מסמן על אריזות,Groceries
2239185.0,פרי גליל,פרי הגליל-1,אפונה 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239185.0,פרי גליל,פרי הגליל-1,אפונה 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239185.0,פרי גליל,פרי הגליל-1,אפונה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239215.0,פרי גליל,פרי הגליל-1,אפונה וגזר 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Vegetables
2239215.0,פרי גליל,פרי הגליל-1,אפונה וגזר 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Vegetables
2239215.0,פרי גליל,פרי הגליל-1,אפונה וגזר 800פג,ברקודים חדשים,מסמן על רב המוצרים,Vegetables
2239277.0,פרי גליל,פרי הגליל-1,ג .גמדי 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239277.0,פרי גליל,פרי הגליל-1,ג. גמדי 800פג שארית ישראל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239277.0,פרי גליל,פרי הגליל-1,ג.גמדי 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239277.0,פרי גליל,פרי הגליל-1,ג.גמדי 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239307.0,פרי גליל,פרי הגליל-1,שע צהובה 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239307.0,פרי גליל,פרי הגליל-1,שע.צהובה 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239307.0,פרי גליל,פרי הגליל-1,שע צהובה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239338.0,פרי גליל,פרי הגליל-1,שע ירוקה 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239338.0,פרי גליל,פרי הגליל-1,שע ירוקה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239369.0,פרי גליל,פרי הגליל-1,שע שלמה 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239369.0,פרי גליל,פרי הגליל-1,שע.ירוקה שלמה 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239369.0,פרי גליל,פרי הגליל-1,שע שלמה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239420.0,פרי גליל,פרי הגליל-1,תירס 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239420.0,פרי גליל,פרי הגליל-1,תירס 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2239482.0,פרי גליל,פרי הגליל-1,כרובית 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2435112.0,פרי גליל,ט. טעם-15,רוטב עגב. א- BX22 2ויטה,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2435129.0,פרי גליל,ט. טעם-15,רוטב עגב. א- BX28 2ויטה,ברקודים חדשים,מסמן על רב המוצרים,Groceries
2814221.0,קומפלקס כימיקליים,קומפלקס כימיקליים,רצפות אורנים 2 ליטר,ברקודים חדשים,,Groceries
2967255.0,סלטי שמיר,סלטי שמיר,"סלמון פילה אפוי שלם 1ק""ג",ברקודים חדשים,,Groceries
3385454.0,פרי גליל,פרי הגליל-1,לקט כרמל 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
3385881.0,פרי גליל,פרי הגליל-1,במיה ברוטב א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
3385898.0,פרי גליל,פרי הגליל-1,רסק פלפל חריף א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Pantry
3385973.0,פרי גליל,פרי הגליל-1,תפוחון פרוס 800,ברקודים חדשים,מסמן על רב המוצרים,Fruits
3648184.0,סלטי שמיר,סלטי שמיר,סלמון מעושן 100גרם,ברקודים חדשים,,Groceries
3648207.0,סלטי שמיר,סלטי שמיר,"מטיאס הולנדי 2.5ק""ג שקיל",ברקודים חדשים,,Groceries
3648214.0,סלטי שמיר,סלטי שמיר,"הרינג כבוש עם בצל שקיל 2.5ק""ג",ברקודים חדשים,,Vegetables
3648221.0,סלטי שמיר,סלטי שמיר,"מקרל פרוס בשמן 2.5ק""ג שקיל",ברקודים חדשים,,Pantry
3648269.0,סלטי שמיר,סלטי שמיר,"מעדן מטיאס הולנדי שקיל 2.5ק""ג",ברקודים חדשים,,Groceries
3648290.0,סלטי שמיר,סלטי שמיר,"סלמונז 3ק""ג",ברקודים חדשים,,Groceries
3648306.0,סלטי שמיר,סלטי שמיר,"מקרל מעושן ( 7) 1ק""ג",ברקודים חדשים,,Groceries
3648368.0,סלטי שמיר,סלטי שמיר,"מקרוסקה מפולפלת 1ק""ג",ברקודים חדשים,,Groceries
3648429.0,סלטי שמיר,סלטי שמיר,"מרינת חמוץ מתוק 2.5ק""ג שקיל",ברקודים חדשים,,Groceries
3648498.0,סלטי שמיר,סלטי שמיר,"בוניטו 1ק""ג",ברקודים חדשים,,Groceries
3648535.0,סלטי שמיר,סלטי שמיר,"שפורטים 1ק""ג",ברקודים חדשים,,Groceries
3648580.0,סלטי שמיר,סלטי שמיר,"נילוס פרוס מעדנייה ( 1ק""ג)",ברקודים חדשים,,Groceries
3648658.0,סלטי שמיר,סלטי שמיר,"סלמון אפוי בואקום 1ק""ג",ברקודים חדשים,,Groceries
3648931.0,סלטי שמיר,סלטי שמיר,"סלט מטיונז 2.5 \1.5ק""ג שקיל",ברקודים חדשים,,Groceries
5068058.0,פרי גליל,פרי הגליל-1,תירס קל א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
5068058.0,פרי גליל,פרי הגליל-1,תירס קל א- 2פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
5068447.0,פרי גליל,פרי הגליל-1,תירס קל 12אונק פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
5068447.0,פרי גליל,פרי הגליל-1,תירס קל 12אונק פג- רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
5068492.0,פרי גליל,פרי הגליל-1,לקט ירק מעורב 700( 20יח'),ברקודים חדשים,מסמן על רב המוצרים,Vegetables
5068553.0,פרי גליל,פרי הגליל-1,לקט בורגונדי 700,ברקודים חדשים,מסמן על רב המוצרים,Groceries
5068621.0,פרי גליל,פרי הגליל-1,ברוקולי 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
5423543.0,סנו,סנו,משחת שיניים אורביטול להלבנה 145 גר',ברקודים חדשים,,Bathroom
5423871.0,סנו,סנו,משחת שיניים אורביטול 145 גר' - מארז 3 יח',ברקודים חדשים,,Bathroom
5423888.0,סנו,סנו,"כיף אלסבון 500 מ""ל - שלישייה במארז.",ברקודים חדשים,,Bathroom
5425646.0,סנו,סנו,סנוקליר 1 ליטר,ברקודים חדשים,,Groceries
5425998.0,סנו,סנו,בייבי כיף אל סבון/ תחליב לתינוקות 1 ליטר,ברקודים חדשים,,Bathroom
5426940.0,סנו,סנו,סנו k 300 + 8,ברקודים חדשים,,Groceries
5427558.0,סנו,סנו,"כיף תחליב רחצה 750 מ""ל",ברקודים חדשים,,Groceries
5427565.0,סנו,סנו,"כיף שמפו / קונדישנר 750 מ""ל",ברקודים חדשים,,Bathroom
6453594.0,פרי גליל,טל-14,שקשוקה 300X2ג טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
8493819.0,מאיר בייגל,מאיר בייגל,מארז בייגלה שטוחלה במגוון טעמים מאיר בייגל (60x24 גרם),ברקודים חדשים,מסמן בפועל,Beverages
8792264.0,שניב,שניב,מפיות טאצ' 100 לבן,ברקודים חדשים,,Groceries
8792714.0,שניב,שניב,טואלט מותג 48,ברקודים חדשים,,Groceries
8792776.0,שניב,שניב,מפיות מותג 50,ברקודים חדשים,,Groceries
8792783.0,שניב,שניב,מפיות מותג 100,ברקודים חדשים,,Groceries
9955217.0,PL אוסטיב עוף טוב,שופרסל,"סלמי קוניאק שופרסל ק""ג",ברקודים חדשים,,Groceries
9955231.0,PL אוסטיב עוף טוב,שופרסל,"סלמי איטלקי שופרסל ק""ג",ברקודים חדשים,,Groceries
9955255.0,PL אוסטיב עוף טוב,שופרסל,חזה הודו דבש נתח שלם שופ,ברקודים חדשים,,Groceries
9955262.0,PL אוסטיב עוף טוב,שופרסל,חזה הודו ברביקיו נתח שלם,ברקודים חדשים,,Groceries
9955293.0,PL אוסטיב עוף טוב,שופרסל,פסטרמה בדבש שופרסל קג,ברקודים חדשים,,Groceries
9955705.0,PL אוסטיב עוף טוב,שופרסל,כתף בקר שופרסל לקג,ברקודים חדשים,,Groceries
11115401.0,סנו,סנו,נקה 7 סבון מוצק 100 גר' - רביעייה,ברקודים חדשים,,Bathroom
14890077.0,משק יעקבס,משק יעקבס,7290014890077  ריקוטה 0.400גרם,ברקודים חדשים,מסמן על אריזות,Groceries
14890145.0,משק יעקבס,משק יעקבס,7290014890145  שמנת טבעית 225 גרם -חדש,ברקודים חדשים,,Dairy
14890152.0,משק יעקבס,משק יעקבס,7290014890152 שמנת זיתים 225 גרם -חדש,ברקודים חדשים,מסמן על אריזות,Dairy
14890169.0,משק יעקבס,משק יעקבס,7290014890169 שמנת שום שמיר 225 גרם -חדש,ברקודים חדשים,מסמן על אריזות,Dairy
14890237.0,משק יעקבס,משק יעקבס,7290014890237 קממברט בייבי  125 גרם -מדף(,ברקודים חדשים,מסמן על אריזות,Groceries
72909768.0,שטראוס,ממתקים - נצרת,"פ""ז PLAY 4/18יח/40ג",ברקודים חדשים,,Groceries
72917329.0,שטראוס,ממתקים - נצרת,אגוזי 28 חטיף 45 גרם,ברקודים חדשים,,Groceries
72917367.0,שטראוס,ממתקים - נצרת,טעמי 28 חטיף 40 גר',ברקודים חדשים,,Groceries
72917589.0,שטראוס,ממתקים - נצרת,מקופלת/24חטיף/25גר',ברקודים חדשים,,Groceries
72917688.0,שטראוס,ממתקים - נצרת,אגוזי מגדים 28 חטיף 45 גרם,ברקודים חדשים,,Groceries
72917893.0,שטראוס,ממתקים - נצרת,"פ""ז חלב/24חטיף/45ג",ברקודים חדשים,,Dairy
72918104.0,שטראוס,ממתקים - נצרת,טעמי מגדים 28 חטיף 40 גר',ברקודים חדשים,,Groceries
72918388.0,שטראוס,ממתקים - נצרת,טוויסט/32חטיף/28גר',ברקודים חדשים,,Groceries
72940754.0,שטראוס,מחלבה,מילקי בטעם וניל,ברקודים חדשים,,Groceries
72940761.0,שטראוס,מחלבה,מילקי בטעם שוקולד,ברקודים חדשים,,Groceries
72940952.0,שטראוס,מחלבה,מילקי אקסטרה קצפת,ברקודים חדשים,,Groceries
72940976.0,שטראוס,אחלה,כרוב אדום 250 גרם,ברקודים חדשים,כן,Groceries
72940983.0,שטראוס,אחלה,חומוס אחלה 250,ברקודים חדשים,כן,Groceries
72941041.0,שטראוס,מחלבה,מיני מילקי בטעם שוקולד,ברקודים חדשים,,Groceries
72961209.0,תנובה,תנובה,שמנית 15% 200מל בדצ,ברקודים חדשים,,Groceries
72961216.0,תנובה,תנובה,אשל 4.5% 200מל  בדצ,ברקודים חדשים,,Groceries
72961223.0,תנובה,תנובה,גיל 3% 200מל בדצ,ברקודים חדשים,,Groceries
72961247.0,תנובה,תנובה,גיל גביע 125 מל %3,ברקודים חדשים,,Groceries
72963104.0,תנובה,תנובה,חמאה מפוסטרת חבילה 100 גרם,ברקודים חדשים,,Groceries
72963128.0,תנובה,תנובה,חמאה מפוסטרת חבילה 100 בדצ,ברקודים חדשים,,Groceries
72963746.0,תנובה,תנובה,שמנת 15% 200מל,ברקודים חדשים,,Dairy
72963753.0,תנובה,תנובה,שמנת אורגינל של פעם 27% 200מל,ברקודים חדשים,,Dairy
72982457.0,שטראוס,מחלבה,מילקי קל בטעם שוקולד,ברקודים חדשים,,Groceries
72983225.0,שטראוס,מחלבה,מילקי הפוך,ברקודים חדשים,,Groceries
72991008.0,שטראוס,ממתקים - נצרת,"פ""ז קלסיק מגדים/24חט./45גר",ברקודים חדשים,,Groceries
72992357.0,שטראוס,ממתקים - נצרת,"פ""ז ביג בייט 52 גרם/18יח/52גר'",ברקודים חדשים,,Groceries
72993637.0,שטראוס,מחלבה,דני שוקולד,ברקודים חדשים,,Groceries
72993637.0,שטראוס,מחלבה,מעדן שוקולד יעודי,ברקודים חדשים,,Groceries
72993767.0,שטראוס,ממתקים - נצרת,"פ""ז רול חלב אגוזים",ברקודים חדשים,,Dairy
72993781.0,שטראוס,ממתקים - נצרת,פסק זמן רול לבן,ברקודים חדשים,,Groceries
72994221.0,שטראוס,ממתקים - נצרת,פסק זמן גלילית אגוזים מגדים 40ג,ברקודים חדשים,,Groceries
13495113506.0,יוניליוור,קליק,קליק ביסקויט 75ג,ברקודים חדשים,מסמן בפועל,Groceries
13495113513.0,יוניליוור,קליק,קליק כדורים חלב 75 גר,ברקודים חדשים,מסמן בפועל,Dairy
13495113520.0,יוניליוור,קליק,קליק קורנפלקס 75 גר,ברקודים חדשים,מסמן בפועל,Groceries
13495113537.0,יוניליוור,קליק,קליק חום לבן 75 גר,ברקודים חדשים,מסמן בפועל,Groceries
13495113551.0,יוניליוור,קליק,קליק עוגי חדש 75 גר,ברקודים חדשים,מסמן בפועל,Groceries
13495113582.0,יוניליוור,קליק,קליק כריות 75 גר,ברקודים חדשים,מסמן בפועל,Groceries
29424001509.0,מנעמים,מנעמים,ופל מצופית אגוז 400 גר,ברקודים חדשים,מסמן על אריזות,Groceries
85678500017.0,חצר כנרת,חצר כנרת,"מלית תמרים בגביע 450 גרם - כשל""פ",ברקודים חדשים,מסמן בפועל,Fruits
96086000546.0,מצות אביב,200 גרם,עוגיות גרנולה אורגניות מקמח כוסמין,ברקודים חדשים,מסמן בפועל,Bakery
96086000553.0,מצות אביב,400 גרם,פתי בר אורגני,ברקודים חדשים,מסמן בפועל,Groceries
96086000560.0,מצות אביב,200,קרקר חמישה דגנים אורגני,ברקודים חדשים,מסמן בפועל,Groceries
96086000577.0,מצות אביב,גרם,קרקר כוסמין אורגני,ברקודים חדשים,מסמן בפועל,Groceries
96086000584.0,מצות אביב,200,קרקר שיפון אורגני,ברקודים חדשים,מסמן בפועל,Groceries
96086000607.0,מצות אביב,200 גרם,פתי בר אורגני,ברקודים חדשים,מסמן בפועל,Groceries
96086000621.0,מצות אביב,180 גרם,ביס ביס – ביסקוויט לתינוקות,ברקודים חדשים,מסמן בפועל,Groceries
96086000676.0,מצות אביב,200 גרם,עוגיות קלות ללא סוכר מקמח כוסמן וצ'יה,ברקודים חדשים,מסמן בפועל,Bakery
96086000966.0,מצות אביב,200 גרם,קרקר כוסמין מלא ושומשום,ברקודים חדשים,מסמן בפועל,Groceries
96086001512.0,מצות אביב,200 גרם,עוגיות קלות אביבה ללא סוכר בטעם לימון,ברקודים חדשים,מסמן בפועל,Bakery
96086001529.0,מצות אביב,200 גרם,עוגיות קלות אביבה ללא סוכר בטעם קפוצ'ינו,ברקודים חדשים,מסמן בפועל,Bakery
96086001536.0,מצות אביב,200,עוגיות קלות אביבה ללא סוכר בטעם וניל,ברקודים חדשים,מסמן בפועל,Bakery
